year,sex,indig,dist_sec,sc,grc,fam_n,min_dist,dist_cap,poor,progresa,hohedu,hohwag,welfare_index,hohsex,hohage,age,village,folnum,grc97,sc97
97,0,0,4.473,1,7,7,21.16838403012562,21.16838403012562,pobre,0,6,0,583,1,35,13,163,1,7,1
98,0,0,4.473,1,8,7,21.16838403012562,21.16838403012562,pobre,0,6,0,583,1,35,14,163,1,7,1
97,1,0,4.473,1,6,7,21.16838403012562,21.16838403012562,pobre,0,6,0,583,1,35,12,163,2,6,1
98,1,0,4.473,1,7,7,21.16838403012562,21.16838403012562,pobre,0,6,0,583,1,35,13,163,2,6,1
97,0,0,4.473,1,2,7,21.16838403012562,21.16838403012562,pobre,0,6,0,583,1,35,8,163,3,2,1
98,0,0,4.473,1,3,7,21.16838403012562,21.16838403012562,pobre,0,6,0,583,1,35,9,163,3,2,1
97,0,0,3.154,0,6,6,127.1147801129469,154.1960026420774,pobre,basal,4,0,684,1,85,14,271,4,6,0
98,0,0,3.154,0,6,6,127.1147801129469,154.1960026420774,pobre,basal,4,0,684,1,85,15,271,4,6,0
97,1,0,3.3729999,1,2,5,85.30027246259445,105.8786688109714,pobre,basal,6,875,742.14001,1,26,9,263,5,2,1
98,1,0,3.3729999,1,2,5,85.30027246259445,105.8786688109714,pobre,basal,6,875,742.14001,1,26,10,263,5,2,1
97,0,0,3.3729999,1,2,5,85.30027246259445,105.8786688109714,pobre,basal,6,875,742.14001,1,26,7,263,6,2,1
98,0,0,3.3729999,1,3,5,85.30027246259445,105.8786688109714,pobre,basal,6,875,742.14001,1,26,8,263,6,2,1
97,0,0,3.3729999,,0,5,85.30027246259445,105.8786688109714,pobre,basal,6,875,742.14001,1,26,6,263,7,0,
98,0,0,3.3729999,1,1,5,85.30027246259445,105.8786688109714,pobre,basal,6,875,742.14001,1,26,7,263,7,0,
97,1,1,1.9349999,1,2,5,127.6576076683567,333.0487309508877,pobre,basal,3,500,552,1,98,10,418,8,2,1
98,1,1,1.9349999,1,3,5,127.6576076683567,333.0487309508877,pobre,basal,3,500,552,1,98,11,418,8,2,1
97,0,1,1.9349999,1,2,5,127.6576076683567,333.0487309508877,pobre,basal,3,500,552,1,98,8,418,9,2,1
98,0,1,1.9349999,1,3,5,127.6576076683567,333.0487309508877,pobre,basal,3,500,552,1,98,9,418,9,2,1
97,1,1,1.9349999,1,5,10,127.6576076683567,333.0487309508877,pobre,basal,0,500,660,1,60,16,418,10,5,1
98,1,1,1.9349999,0,6,10,127.6576076683567,333.0487309508877,pobre,basal,0,500,660,1,60,17,418,10,5,1
97,0,1,1.9349999,1,3,10,127.6576076683567,333.0487309508877,pobre,basal,0,500,660,1,60,12,418,11,3,1
98,0,1,1.9349999,1,6,10,127.6576076683567,333.0487309508877,pobre,basal,0,500,660,1,60,13,418,11,3,1
97,0,1,1.9349999,1,2,7,127.6576076683567,333.0487309508877,pobre,basal,4,500,471,1,30,8,418,12,2,1
98,0,1,1.9349999,1,3,7,127.6576076683567,333.0487309508877,pobre,basal,4,500,471,1,30,9,418,12,2,1
97,1,1,1.9349999,1,1,7,127.6576076683567,333.0487309508877,pobre,basal,4,500,471,1,30,7,418,13,1,1
98,1,1,1.9349999,1,2,7,127.6576076683567,333.0487309508877,pobre,basal,4,500,471,1,30,8,418,13,1,1
